"Step","LunarLander_with_labels_1000_good_reward - episode_reward","LunarLander_with_labels_1000_good_reward - episode_reward__MIN","LunarLander_with_labels_1000_good_reward - episode_reward__MAX"
"0","-351.72258205100195","-351.72258205100195","-351.72258205100195"
"1","-181.89682370310584","-181.89682370310584","-181.89682370310584"
"2","-259.22069010645157","-259.22069010645157","-259.22069010645157"
"3","-261.63948611497165","-261.63948611497165","-261.63948611497165"
"4","-274.7831964954938","-274.7831964954938","-274.7831964954938"
"5","-138.65095602258123","-138.65095602258123","-138.65095602258123"
"6","-367.7080760150794","-367.7080760150794","-367.7080760150794"
"7","-191.97932542268936","-191.97932542268936","-191.97932542268936"
"8","-107.18387448520502","-107.18387448520502","-107.18387448520502"
"9","-355.88731759673544","-355.88731759673544","-355.88731759673544"
"10","-388.002109300912","-388.002109300912","-388.002109300912"
"11","-241.74494864764992","-241.74494864764992","-241.74494864764992"
"12","-398.27157153701745","-398.27157153701745","-398.27157153701745"
"13","-370.76261320367183","-370.76261320367183","-370.76261320367183"
"14","-378.6167327406648","-378.6167327406648","-378.6167327406648"
"15","-492.417547778571","-492.417547778571","-492.417547778571"
"16","-336.71030608293154","-336.71030608293154","-336.71030608293154"
"17","-109.45046670779587","-109.45046670779587","-109.45046670779587"
"18","-643.6067251833118","-643.6067251833118","-643.6067251833118"
"19","-159.74171583106653","-159.74171583106653","-159.74171583106653"
"20","-317.8865820734203","-317.8865820734203","-317.8865820734203"
"21","-510.8198679736785","-510.8198679736785","-510.8198679736785"
"22","33.10441750846222","33.10441750846222","33.10441750846222"
"23","-630.7473152777554","-630.7473152777554","-630.7473152777554"
"24","-144.21423090419154","-144.21423090419154","-144.21423090419154"
"25","-115.02005677684366","-115.02005677684366","-115.02005677684366"
"26","-279.9377749446546","-279.9377749446546","-279.9377749446546"
"27","-330.2308214990464","-330.2308214990464","-330.2308214990464"
"28","-311.18240781456234","-311.18240781456234","-311.18240781456234"
"29","-387.54137471056066","-387.54137471056066","-387.54137471056066"
"30","-580.8943122684097","-580.8943122684097","-580.8943122684097"
"31","-280.7680037628289","-280.7680037628289","-280.7680037628289"
"32","-427.5490363068563","-427.5490363068563","-427.5490363068563"
"33","-120.42316959659735","-120.42316959659735","-120.42316959659735"
"34","-276.8502277429584","-276.8502277429584","-276.8502277429584"
"35","-161.7508504857123","-161.7508504857123","-161.7508504857123"
"36","-312.82071176345073","-312.82071176345073","-312.82071176345073"
"37","-162.4911085294821","-162.4911085294821","-162.4911085294821"
"38","-416.08406559333207","-416.08406559333207","-416.08406559333207"
"39","-356.55860941661007","-356.55860941661007","-356.55860941661007"
"40","19.469672095755495","19.469672095755495","19.469672095755495"
"41","-192.7886962093171","-192.7886962093171","-192.7886962093171"
"42","-120.73892411665523","-120.73892411665523","-120.73892411665523"
"43","-302.3957490935424","-302.3957490935424","-302.3957490935424"
"44","-343.66665320545434","-343.66665320545434","-343.66665320545434"
"45","-90.47690209574998","-90.47690209574998","-90.47690209574998"
"46","-298.41953186413593","-298.41953186413593","-298.41953186413593"
"47","-366.4653706939239","-366.4653706939239","-366.4653706939239"
"48","-378.9295757614452","-378.9295757614452","-378.9295757614452"
"49","-212.824846954075","-212.824846954075","-212.824846954075"
"50","-239.24513174329974","-239.24513174329974","-239.24513174329974"
"51","-496.4514532318943","-496.4514532318943","-496.4514532318943"
"52","14.56798488502032","14.56798488502032","14.56798488502032"
"53","-149.53682099163535","-149.53682099163535","-149.53682099163535"
